start,end,StartIdx,StopIdx,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
0 days,0 days 00:00:05,0.0,5.0,25.672573,0.3119339,17.178837,27.712223,32.620403,15.441566,140.86652,132.02528,68.227264,66.78715,0.94166183,0.58979857,0.39004305,0.88054776,1.4182951,1.0282521,12.436368,6.1555157,6.312791,3.0970585,0.60902107,0.8097843,22.74495,0.36404267,1.93598,6.5669284,7.143968,1.4270476,-6.807543,-1.7665848,0.06367817,2.3263705,1.3607379,0.65995246,0.077419624,67.429054,2.1717417,3.808302,21.098045,0.3346438,581.81995,0.32015207,1296.6266,0.16539833,-67.214745,-1.278657,1666.3114,0.12585314,874.2778,0.3668766,-72.84893,-1.1084936,2789.3962,0.084228575,783.91187,0.54197645,-76.45183,-1.0247803,-12.278898,-0.4375163,21.585224,0.2267207,0.046718955,0.7588517,-0.020586,-0.47640383,0.6498893,0.7739361,25.066566,0.23245755,2.6444125,4.3491325,6.8971596,1.4726657,-8.020846,-1.6388727,-7.4225626,15.750742,0.03226965,-0.012685961,0.5307764,2.6052105,3.8539555,0.16789474,0.15164289,0.083124995,0.07303413,-28.556019
0 days,0 days 00:00:05,5.0,10.0,27.311031,0.2220874,19.345596,30.828869,31.458664,12.113068,222.659,149.9368,117.294136,86.97106,0.8936689,0.37582868,0.5818416,0.88669515,1.1354107,0.5535691,6.8065343,4.7464714,6.859967,3.919574,0.5877893,0.5175639,25.551823,0.3991656,3.3992088,4.095062,8.144877,1.4987441,-4.8337975,-2.2213686,0.044036068,1.3836877,1.4370146,0.53306633,1.1186087,3.7827168,0.75551784,9.688617,19.576895,0.43357694,562.8308,0.35431328,1342.8387,0.14649095,-52.291023,-1.5169384,1622.0038,0.14722376,921.62646,0.38583213,-58.62726,-1.2542197,2685.2134,0.10737268,890.2894,0.43837112,-61.720993,-1.1646307,-12.195117,-0.47535142,21.337282,0.33692902,0.0572962,0.46347097,-0.02257531,-0.33046842,0.60034215,0.52893883,28.255062,0.24696785,2.6303203,4.557624,8.557913,1.5197268,-5.5541906,-2.1061993,-7.3218184,14.203348,0.042294573,-0.019123064,0.5498684,4.6092186,3.6437247,0.19833334,0.29458538,0.061874997,0.03244587,-30.256899
0 days,0 days 00:00:05,10.0,15.0,24.23019,0.30376503,17.072474,22.084158,33.277287,16.204813,319.7388,320.5985,107.136986,71.057014,0.83994246,0.50078654,0.47183126,0.70044684,1.2174668,0.74563557,11.254033,8.882721,6.769319,2.7383218,0.6284881,0.7326822,25.916803,0.357433,3.7137299,3.6396089,7.340195,1.7479631,-1.7652383,-7.28876,0.10795753,1.3586876,1.6675004,0.6487661,-0.9716892,-5.2915115,3.4826972,4.396868,19.988829,0.702893,529.8742,0.34290206,1329.4619,0.15873127,-66.54328,-1.2744753,1605.771,0.13290954,972.81433,0.40751314,-71.77889,-1.0964593,2668.3118,0.08798366,964.3404,0.49520123,-75.0232,-1.0219862,-13.33201,-0.53729534,23.037989,0.331914,0.050158694,0.6235072,-0.020878002,-0.40049273,0.70045036,0.71360683,27.441622,0.2828352,4.2926135,3.079836,9.1345825,1.5170741,-3.268281,-4.02626,-9.272613,19.109497,0.037169687,-0.014573485,0.43746668,3.8076155,4.684318,0.13782609,0.12775508,0.06888889,0.040123265,-28.558002
0 days,0 days 00:00:05,15.0,20.0,27.711187,0.28071788,17.518335,32.773193,34.044937,16.526602,469.26868,633.8588,93.5249,73.199814,0.7897128,0.42798582,0.5069188,0.72328347,1.0505456,0.5436268,9.911812,5.7841473,4.8063593,2.7776048,0.5848368,0.6051327,26.89428,0.41431642,10.151743,1.1459036,10.351967,1.3065286,-0.29479876,-43.493603,0.071714275,1.7323323,1.2920759,0.6854436,3.413961,1.8113376,7.4223123,2.3343995,23.23009,0.61416703,545.1618,0.32659474,1382.4554,0.13489282,-62.04684,-1.2738829,1643.6312,0.16632664,986.8278,0.4008397,-69.382095,-1.0323493,2682.6382,0.10641182,915.5972,0.45691338,-71.66605,-0.982437,-16.987251,-0.39338616,26.217163,0.3449231,0.05672416,0.5634534,-0.020450931,-0.38009867,0.6526408,0.55401397,29.50768,0.32492128,10.209645,1.0655624,13.051182,1.0509408,-2.0027583,-6.2634697,-10.770777,19.068344,0.035689063,-0.018294116,0.38020104,4.008016,3.6511157,0.19444445,0.17935756,0.066874996,0.039006207,-26.693506
0 days,0 days 00:00:05,20.0,25.0,26.590008,0.31683528,16.841076,31.885937,33.971836,17.13076,224.7502,211.05362,55.66287,53.074715,0.88216937,0.5274937,0.48280957,0.7686496,1.2530603,0.7702508,15.228489,10.449506,8.370857,5.8877826,0.6543382,0.7560384,25.50472,0.33209288,4.4351244,3.198208,6.8270683,1.4566494,-2.119925,-4.5051255,0.0680341,1.8303092,1.5936923,0.49262455,0.3361994,15.236425,3.1977146,2.7534606,20.821398,0.42217514,587.43933,0.2822639,1365.28,0.14576207,-49.774193,-1.527523,1658.876,0.10928254,957.4891,0.3295199,-56.77558,-1.2210984,2754.483,0.09440449,809.5071,0.39139575,-60.487442,-1.11375,-13.412531,-0.4118167,22.345863,0.3253098,0.05206861,0.52999395,-0.022217136,-0.31158218,0.7078038,0.73767793,27.162039,0.2788214,4.383816,3.1019678,7.116704,1.4188126,-3.2487042,-2.9345374,-9.714063,17.294033,0.036982145,-0.016613698,0.48171327,4.8096194,3.4412956,0.21882352,0.20550889,0.051764708,0.031666514,-28.539623
0 days,0 days 00:00:05,25.0,30.0,22.483013,0.32490274,16.548822,18.311325,31.383831,14.835009,183.68721,165.95906,118.759,123.47593,0.64561373,0.6644914,0.35151047,0.41848966,0.9524286,0.6009181,7.5422416,6.204929,6.7599545,5.707096,0.352179,0.8445593,24.075085,0.3670282,5.758145,2.2043068,9.772783,0.9328188,-1.9680928,-4.098375,0.06062298,1.5240083,1.3583587,0.66751087,-1.4271883,-3.7912583,2.5471663,4.805984,21.605824,0.4919209,603.9191,0.3095597,1378.639,0.17383455,-53.480778,-1.4014896,1651.6467,0.10892477,1036.4369,0.38076738,-60.141914,-1.1762545,2753.535,0.09408422,961.6478,0.47516176,-63.948383,-1.0725778,-12.969836,-0.42901036,21.713457,0.30180004,0.037151802,0.79687256,-0.0178367,-0.37428263,0.37429896,0.8773368,26.002937,0.25781277,4.3063574,2.9241478,10.832994,0.8577495,-2.3055904,-3.8301542,-10.129563,17.56345,0.030672008,-0.016310325,0.29204068,1.2024049,4.462475,0.1609091,0.14173947,0.06357143,0.07006192,-31.094559
0 days,0 days 00:00:05,30.0,35.0,27.70221,0.26626,17.89757,31.912989,33.402523,15.504953,168.43932,126.134056,74.31972,74.23161,0.9791916,0.521773,0.43062997,0.9321141,1.4293928,0.99876285,7.5782537,3.749929,6.159716,3.71567,0.7207126,0.8766123,27.092655,0.5367492,8.694852,1.284865,2.747565,3.9794383,-8.931399,-1.6804237,0.06860979,1.9055531,1.3151258,0.75318784,3.0425532,1.9681469,4.239682,3.644935,26.57348,0.49919736,600.363,0.3772528,1351.6862,0.15912518,-42.41963,-1.717672,1624.5923,0.17406698,1010.52356,0.36814854,-49.91111,-1.3360742,2835.1304,0.09720319,846.84,0.5238137,-58.73711,-1.0619618,-14.386135,-0.49848124,27.300934,0.3139569,0.061498325,0.55820864,-0.02286172,-0.5010926,0.802375,0.83741456,31.767815,0.2863788,6.8125453,1.6153716,3.2543137,3.4253106,-11.125753,-1.3664763,-4.7037625,10.080125,0.034921475,-0.013852487,0.3554641,2.6052105,2.6369169,0.3023077,0.29152527,0.07777777,0.061423443,-24.459435
0 days,0 days 00:00:05,35.0,40.0,23.511482,0.31130496,16.930933,19.152246,32.3838,15.4528675,102.411575,86.596596,88.07728,60.086132,0.8038751,0.6257455,0.37040466,0.6397348,1.2414851,0.87108046,12.570821,6.3848643,7.4638014,5.116654,0.5621124,0.7895812,28.459404,0.25826186,0.8657048,15.783256,7.4233885,1.7184035,-0.47301745,-18.597328,0.09162208,1.5347462,1.5501025,0.6023569,-1.176625,-4.6212077,4.765382,2.5976627,20.252863,0.49076453,536.6757,0.31820336,1382.9077,0.16743037,-43.42184,-1.6275251,1586.9271,0.123321384,1113.826,0.31617275,-51.185677,-1.2865914,2602.2502,0.11082769,1016.17377,0.42666543,-54.36426,-1.1834599,-13.155435,-0.5026246,23.037561,0.28429908,0.04065216,0.7167822,-0.018901391,-0.45455876,0.57554126,0.79456764,29.260414,0.20768861,1.3422046,10.36793,7.65472,1.7552824,-1.3927019,-6.6091967,-9.240581,18.988565,0.029203761,-0.012842125,0.49902263,2.8056114,4.259635,0.17904761,0.12282022,0.044999998,0.030618621,-28.592226
0 days,0 days 00:00:05,40.0,45.0,26.487478,0.3027394,16.96135,30.447641,34.23436,17.27301,274.77692,231.55313,87.30709,48.897736,0.940186,0.54047775,0.48205554,0.8499198,1.2812581,0.79920256,12.073855,6.9845715,8.049907,5.4748607,0.7429505,0.75168425,27.630028,0.32140696,5.1797132,2.5342674,12.724358,0.9969551,-3.6285558,-3.26981,0.11132614,1.6230519,1.4133874,0.6500419,1.5313146,4.1684,6.228465,2.8380783,20.46976,0.5990756,612.0657,0.31841183,1344.8848,0.15941744,-38.459457,-1.752513,1695.1001,0.14375703,956.6242,0.417473,-47.357914,-1.2936298,2751.4736,0.08833309,884.61017,0.38727045,-49.790195,-1.207894,-14.93908,-0.47133738,23.857996,0.31901,0.057808135,0.5662187,-0.02010221,-0.49146312,0.82616943,0.69650435,29.690098,0.2422539,4.9182205,2.5778375,13.285008,1.0001276,-4.7551775,-2.6121912,-7.9681377,14.123721,0.03127763,-0.015953,0.36964396,3.6072147,2.8455284,0.28571427,0.31730366,0.045714285,0.02945075,-24.6507
0 days,0 days 00:00:05,45.0,50.0,26.84229,0.31715697,17.222559,25.973568,36.006134,18.783575,379.6417,523.33295,145.24434,83.83407,0.82200223,0.47109574,0.40316227,0.7482745,1.2231803,0.82001805,8.580153,3.6532755,6.797281,2.634889,0.6448214,0.6661981,24.478582,0.35440668,6.091296,2.2549381,11.843934,0.8957306,-2.4402387,-4.917795,0.08438771,1.4203593,1.5016657,0.5354761,1.0096021,5.2810574,6.7665415,1.7778742,21.031929,0.41800618,570.78436,0.36669222,1296.5233,0.15736233,-53.836063,-1.4244227,1672.891,0.12883598,930.1991,0.43409294,-60.706753,-1.1230303,2677.7122,0.121538945,874.1603,0.4701013,-61.877182,-1.0943227,-14.67997,-0.39472273,21.81274,0.33371705,0.05552746,0.67174923,-0.022622198,-0.36909187,0.6975695,0.65157646,26.442095,0.2750033,5.971247,2.115344,12.926665,0.8403148,-3.6077664,-3.4626858,-9.3527355,16.659012,0.040252704,-0.015673652,0.5049408,4.008016,4.887984,0.14708333,0.115919486,0.049999997,0.03325481,-28.160324
